"code_bss";"urn_bss";"timestamp_mesure";"niveau_eau_ngf";"longitude";"latitude";"bss_id";"altitude_station";"altitude_repere";"date_mesure";"profondeur_nappe";"date_maj"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771052400000";"100.033";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T07:00:00Z";"19.657";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771048800000";"100.045";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T06:00:00Z";"19.645";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771045200000";"100.057";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T05:00:00Z";"19.633";"2026-02-15"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771041600000";"100.064";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T04:00:00Z";"19.626";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771038000000";"100.072";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T03:00:00Z";"19.618";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771034400000";"100.072";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T02:00:00Z";"19.618";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771030800000";"100.077";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T01:00:00Z";"19.613";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771027200000";"100.076";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-14T00:00:00Z";"19.614";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771023600000";"100.075";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T23:00:00Z";"19.615";"2026-02-14"
"03645X0161/F";"http://services.ades.eaufrance.fr/pointeau/03645X0161/F";"1771020000000";"100.071";"2.1574987337";"47.8895619566";"BSS001AHLZ";"118.5";"119.69";"2026-02-13T22:00:00Z";"19.619";"2026-02-14"
